building_id,original_mean,modified_mean,anomalous_subsequences,min_anomaly_length,max_anomaly_length,total_anomalous_points
935,20.42059955006651,20.42059955006651,96,2,5,349
936,13.098331970627894,13.098331970627894,96,2,5,349
941,9.165061265286958,9.165061265286958,96,2,5,349
942,57.00777938691668,57.007779386916674,96,2,5,349
945,272.0141680786505,272.0141680786505,96,2,5,349
948,10.734136960576189,10.734136960576189,96,2,5,349
950,35.383014508480315,35.383014508480315,94,2,5,342
952,188.791693633935,188.791693633935,96,2,5,349
961,312.7225488869274,312.7225488869274,96,2,5,349
966,584.811280838423,584.811280838423,96,2,5,349
967,155.98435751247828,155.98435751247825,96,2,5,349
968,196.12831080211902,196.12831080211902,96,2,5,349
969,166.00082509422418,166.00082509422418,96,2,5,349
970,54.00920726492444,54.00920726492444,94,2,5,343
971,242.6308656691785,242.6308656691785,96,2,5,349
973,167.1910569392429,167.1910569392429,96,2,5,349
974,72.44270364321126,72.44270364321126,96,2,5,349
975,361.44041357276603,361.44041357276603,95,2,5,346
977,72.31079547488073,72.31079547488073,96,2,5,349
978,187.97691496590355,187.97691496590355,96,2,5,349
981,119.76277784706423,119.76277784706423,96,2,5,349
988,32.77425119970891,32.77425119970891,96,2,5,349
990,89.27024003901043,89.27024003901043,96,2,5,349
992,28.9068587488874,28.9068587488874,96,2,5,349
994,84.51070911866167,84.51070911866167,96,2,5,349
996,129.57958944111553,129.57958944111553,96,2,5,349
1001,29.21329229962499,29.21329229962499,95,2,5,345
1007,40.07242083579075,40.072420835790744,95,2,5,345
1068,94.09788553460353,94.09788553460353,96,2,5,350
1073,179.14810114236883,179.14810114236883,96,2,5,350
1074,60.322945469034615,60.322945469034615,96,2,5,350
1106,99.0358066279467,99.0358066279467,96,2,5,350
1120,79.21118091587003,79.21118091587003,96,2,5,350
1128,78.3916257981981,78.3916257981981,96,2,5,349
1137,19.580738236199174,19.580738236199174,96,2,5,350
1141,19.221642558026,19.221642558026,96,2,5,350
1143,79.25751366120218,79.25751366120218,96,2,5,350
1147,360.178537568306,360.178537568306,96,2,5,350
1172,233.3657621085887,233.3657621085887,96,2,5,350
1219,115.02366499598108,115.02366499598108,96,2,5,350
1225,172.95892346684363,172.95892346684363,96,2,5,350
1226,39.465421535729945,39.465421535729945,96,2,5,350
1230,27.441179330677464,27.441179330677464,96,2,5,350
1232,244.9592414925007,244.9592414925007,85,2,5,310
1234,23.68646427349516,23.68646427349516,96,2,5,350
1238,85.34882818853697,85.34882818853697,96,2,5,350
1239,42.957958759573096,42.957958759573096,96,2,5,350
1241,244.16102039725445,244.16102039725445,96,2,5,350
1242,20.785083632754397,20.785083632754397,96,2,5,350
1245,53.60030567225174,53.60030567225174,96,2,5,350
1246,46.415203038423805,46.415203038423805,96,2,5,350
1247,188.23196782380248,188.23196782380248,96,2,5,350
1249,339.37569776963636,339.37569776963636,96,2,5,350
1251,287.8853333741777,287.8853333741777,96,2,5,350
1252,460.5034737357639,460.50347373576386,96,2,5,350
1253,274.326161421117,274.326161421117,96,2,5,350
1255,29.880727952339125,29.880727952339125,94,2,5,343
1257,200.65297574390453,200.65297574390453,96,2,5,350
1258,903.18103047734,903.18103047734,96,2,5,350
1259,136.13668710086534,136.13668710086534,96,2,5,350
1260,65.91136343987759,65.91136343987759,96,2,5,350
1261,159.6689356078872,159.6689356078872,96,2,5,350
1264,75.87278108321341,75.87278108321341,62,2,5,224
1266,29.95079668253455,29.95079668253455,96,2,5,349
1267,184.87089854199354,184.87089854199354,96,2,5,349
1272,336.61157807191745,336.61157807191745,96,2,5,350
1275,162.64681768965357,162.6468176896536,96,2,5,350
1278,165.3776289139748,165.3776289139748,96,2,5,350
1279,133.93178549437903,133.93178549437903,96,2,5,350
1283,96.46435705740618,96.46435705740619,96,2,5,350
1284,1568.4300773328312,1568.4300773328312,96,2,5,350
1285,228.3298311237774,228.3298311237774,96,2,5,350
1296,16.28233008841926,16.282330088419258,96,2,5,350
1297,39.51234764180535,39.51234764180535,96,2,5,350
1300,55.371080020596935,55.37108002059694,96,2,5,350
1302,136.98701592527482,136.98701592527482,96,2,5,350
1303,411.13453864479646,411.13453864479646,96,2,5,350
1304,309.15793643976724,309.15793643976724,96,2,5,350
1306,68.93147202366505,68.93147202366505,96,2,5,350
1309,49.3651542655344,49.3651542655344,96,2,5,350
1310,46.66003478468087,46.66003478468087,96,2,5,350
1311,55.71379978312291,55.71379978312291,96,2,5,350
1315,68.75039360950807,68.75039360950807,96,2,5,350
1316,52.961359057024644,52.961359057024644,96,2,5,350
1318,159.56477216540378,159.56477216540378,94,2,5,342
1319,124.72483262537365,124.72483262537365,95,2,5,347
1323,182.3000850062422,182.3000850062422,96,2,5,350
1353,7.024886360594298,7.024886360594298,82,2,5,298
